rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
96,Lior Alexander,LiorOnAI,founder,Founder,112235,2076,24,8,16,4,0.25,0,0,0,0,3.984016,0.192819,0.25,0.00234561,0.393001,0.342956,,https://alphasignal.ai,Nov 2012,blue
97,merve,mervenoyann,founder,huggingface,84437,5130,23,17,6,3,0.5,0,0,0,0,3.743663,0.181128,0.0,0.00366444,0.395172,0.341661,Paris,http://huggingface.co/merve,Dec 2019,blue
98,Felix Hill,FelixHill84,researcher,Research Scientist at Google DeepMind,12389,740,26,7,19,3,0.157895,0,0,0,0,3.365083,0.162713,0.5,0.0019522,0.39814,0.339283,"London, England",https://fh295.github.io/,Jul 2010,
99,Shane Gu,shaneguML,founder,OpenAI,47682,2197,31,16,15,3,0.2,0,0,0,0,3.390825,0.163965,0.375,0.00293831,0.396801,0.338592,"Mountain View, CA",https://scholar.google.com/citations?user=B8wslVsAAAAJ,Jun 2016,blue
100,Graham Neubig,gneubig,researcher,Professor at CMU,42016,749,18,7,11,4,0.363636,0,0,0,0,3.840193,0.185823,0.25,0.00247133,0.389213,0.338366,"Pittsburgh, PA",http://www.phontron.com,Sep 2010,blue
101,AI Pub,ai__pub,company,AI News & Research,71715,340,28,7,21,3,0.142857,0,0,0,0,3.659002,0.17701,0.25,0.00161439,0.391394,0.337798,"San Francisco, CA",https://airtable.com/shr0Jv3aGS0PFjywx,Jul 2022,blue
102,John Schulman,johnschulman2,researcher,Co-founder at OpenAI,72576,1597,29,10,19,2,0.105263,0,0,0,0,2.816393,0.136023,0.5,0.00345783,0.40392,0.336946,,http://joschu.net,May 2021,blue
103,Riley Goodside,goodside,founder,Staff Prompt Engineer @GoogleDeepMind,164810,3271,36,20,16,3,0.1875,0,0,0,0,3.469701,0.167802,0.0,0.00528471,0.393157,0.336818,"Richmond, VA",,Sep 2008,blue
104,Bill Peebles,billpeeb,researcher,Research Scientist at OpenAI,43035,306,20,5,15,3,0.2,0,0,0,0,3.179983,0.153709,0.5,0.00246684,0.397241,0.336358,,https://wpeebles.com,Jul 2012,blue
105,"Sasha Luccioni, PhD 🦋🌎✨🤗",SashaMTL,founder,HuggingFace,22589,3642,22,8,14,4,0.285714,0,0,0,0,4.097804,0.198354,0.125,0.00209745,0.381592,0.335783,Tiohti:áke Montréal,,Jan 2015,
106,Tibo,thsottiaux,founder,OpenAI,28496,52,31,21,10,3,0.3,0,0,0,0,3.350975,0.162027,0.125,0.00652981,0.392095,0.334578,,,Aug 2025,blue
107,Durk Kingma,dpkingma,researcher,Research Scientist at Google,51723,408,17,6,11,1,0.090909,0,0,0,0,1.926133,0.092719,0.75,0.00265628,0.414871,0.334333,,https://dpkingma.com,Mar 2009,
108,Ian Goodfellow,goodfellow_ian,researcher,Creator of GANs,359293,1359,24,9,15,2,0.133333,0,0,0,0,2.550828,0.123106,0.5,0.00243494,0.404432,0.334101,"San Francisco, CA",http://www.iangoodfellow.com,Sep 2016,blue
109,Alexandr Wang,alexandr_wang,founder,CEO at Scale AI,379439,843,30,18,12,2,0.166667,0,0,0,0,3.004228,0.14516,0.125,0.00717724,0.396676,0.333797,"San Francisco, CA",https://scale.com,Jun 2012,blue
110,Chris Olah,ch402,researcher,Research Scientist at Anthropic,133758,180,16,6,10,2,0.2,0,0,0,0,2.285907,0.110219,0.625,0.00304394,0.406985,0.332793,"San Francisco, CA",http://colah.github.io,Jun 2010,blue
111,Anca Dragan,ancadianadragan,researcher,Professor at UC Berkeley,13227,184,27,5,22,2,0.090909,0,0,0,0,2.683801,0.129574,0.5,0.0031951,0.399714,0.332179,"San Francisco, CA",http://www.ancadragan.com,Mar 2018,blue
112,Gary Marcus,GaryMarcus,media,AI Critic & Author,207844,6928,29,8,21,3,0.142857,0,0,0,0,2.886647,0.139441,0.25,0.00228566,0.395756,0.331677,,http://garymarcus.substack.com,Dec 2010,blue
113,Alexia Jolicoeur-Martineau,jm_alexia,researcher,Research Scientist,24423,2086,27,12,15,2,0.133333,0,0,0,0,2.710147,0.130855,0.5,0.00352373,0.396927,0.330409,"Montréal, Québec",http://ajolicoeur.wordpress.com,Mar 2017,
114,Natasha Jaques,natashajaques,company,Professor & Research Scientist,32216,1117,24,11,13,3,0.230769,0,0,0,0,3.301922,0.159641,0.25,0.00260118,0.384284,0.328123,"Seattle, WA",http://natashajaques.ai,Jun 2009,blue
115,Varun Mohan,_mohansolo,founder,building @antigravity @GoogleDeepMind,40788,231,24,11,13,4,0.307692,0,0,0,0,3.496194,0.16909,0.0,0.00299903,0.380897,0.327945,,,Jan 2019,blue
116,Petar Veličković,PetarV_93,researcher,Staff Research Scientist at Google DeepMind,42999,555,25,9,16,2,0.125,0,0,0,0,2.541868,0.12267,0.5,0.00210062,0.395418,0.327231,London 🇬🇧,https://petar-v.com,Jan 2013,blue
117,Azalia Mirhoseini,Azaliamirh,researcher,Research Scientist at Google,17797,590,17,2,15,2,0.133333,0,0,0,0,2.350573,0.113365,0.625,0.00099952,0.397714,0.326627,"Stanford, CA",https://scalingintelligence.stanford.edu/,May 2013,blue
118,Satya Nadella,satyanadella,founder,CEO at Microsoft,3609962,308,21,9,12,2,0.166667,0,0,0,0,2.111017,0.101712,0.0,0.00357013,0.400892,0.326097,,https://snscratchpad.com/,Feb 2009,blue
119,Jay Hack,mathemagic1an,founder,Founder at stanford,60473,3329,20,7,13,3,0.230769,0,0,0,0,3.07442,0.148574,0.25,0.00189162,0.382551,0.324057,San Francisco,http://jay.ai,May 2013,blue
120,Jan Leike,janleike,founder,Former Alignment Lead at OpenAI,121018,332,19,10,9,2,0.222222,0,0,0,0,2.458474,0.118613,0.375,0.00426709,0.391006,0.322908,"San Francisco, USA",https://jan.leike.name/,Mar 2016,blue
121,NVIDIA Networking,NVIDIANetworkng,company,NVIDIA Networking,76651,404,12,3,9,3,0.333333,0,0,0,0,3.434219,0.166076,0.0,0.00110118,0.373183,0.321406,"Santa Clara, CA",http://nvidia.com/networking,Jul 2009,blue
122,MMitchell,mmitchell_ai,researcher,Chief Ethics Scientist at Hugging Face,81194,1355,21,9,12,1,0.083333,0,0,0,0,1.719978,0.082691,0.625,0.00176472,0.400528,0.321069,,http://m-mitchell.com,Jun 2016,blue
123,Shengjia Zhao,shengjia_zhao,researcher,Meta,51349,230,21,6,15,2,0.133333,0,0,0,0,2.177583,0.10495,0.5,0.00188947,0.392308,0.320468,,,Oct 2016,blue
124,🌩️ NVIDIA GeForce NOW,NVIDIAGFN,company,NVIDIA GeForce NOW,199584,64,12,8,4,2,0.5,0,0,0,0,2.345086,0.113098,0.0,0.00354078,0.388451,0.319613,Your Device,http://nvidia.com/geforce-now,Nov 2017,blue
125,Niels Rogge,NielsRogge,founder,huggingface,18424,721,24,1,23,1,0.043478,0,0,0,0,1.986675,0.095664,0.5,0.00081449,0.393748,0.319227,Belgium,http://nielsrogge.github.io,Apr 2010,
126,Thomas Kipf,tkipf,researcher,Research Scientist at Google DeepMind,28851,1387,17,1,16,0,0.0,0,0,0,0,0.890117,0.042325,0.75,0.00067392,0.407936,0.316533,"San Francisco, CA",https://scholar.google.com/citations?user=83HL5FwAAAAJ,Jun 2009,blue
127,Boaz Barak,boazbaraktcs,researcher,Professor at Harvard,28717,702,18,7,11,2,0.181818,0,0,0,0,2.443569,0.117888,0.375,0.00278039,0.38189,0.31589,"Cambridge, MA",https://www.boazbarak.org/,Jan 2020,blue
128,Catherine Olsson,catherineols,researcher,Safety Team at Anthropic,18988,1442,18,5,13,2,0.153846,0,0,0,0,2.412015,0.116353,0.375,0.00341293,0.381355,0.315105,San Francisco,,May 2010,blue
129,⿻ Andrew Trask,iamtrask,researcher,Privacy AI Researcher,79633,1162,28,9,19,1,0.052632,0,0,0,0,2.219057,0.106967,0.25,0.00279437,0.384269,0.314944,"Oxford, UK",https://andrewtrask.substack.com/p/gpu-demand-is-1mx-distorted-by-efficiency,Nov 2012,blue
130,NVIDIA GeForce UK,NVIDIAGeForceUK,company,NVIDIA UK,247888,759,11,8,3,1,0.333333,0,0,0,0,2.366396,0.114134,0.125,0.0034823,0.381293,0.314503,UK,http://www.geforce.co.uk/,Nov 2009,blue
131,Jakub Pachocki,merettm,founder,Chief Scientist at OpenAI,52030,20,7,3,4,2,0.5,0,0,0,0,1.92035,0.092438,0.25,0.00295396,0.387669,0.313861,,,Aug 2018,blue
132,Peter Welinder,npew,founder,VP at OpenAI,42340,924,22,4,18,2,0.111111,0,0,0,0,2.712668,0.130978,0.125,0.00141486,0.374083,0.313307,"San Francisco, CA",,Apr 2010,blue
133,Mira Murati,miramurati,founder,Former CTO at OpenAI,417549,598,25,11,14,1,0.071429,0,0,0,0,2.137516,0.103001,0.125,0.00343346,0.383101,0.313076,"San Francisco, CA",,Aug 2010,blue
134,NVIDIA Customer Care,nvidiacc,company,NVIDIA Customer Care,20937,92,18,6,12,2,0.166667,0,0,0,0,3.190445,0.154218,0.0,0.00228884,0.365932,0.313003,"Santa Clara, California",http://www.nvidia.com/nvcc,Oct 2009,blue
135,Lewis Tunstall,_lewtun,founder,huggingface,18008,559,25,5,20,2,0.1,0,0,0,0,2.887895,0.139501,0.0,0.00115366,0.370619,0.31284,"Berne, Switzerland",https://transformersbook.com/,Aug 2018,blue
136,OpenClaw🦞,openclaw,founder,The AI that does things,279090,17,21,20,1,0,0.0,0,0,0,0,0.787862,0.037351,0.25,0.01731874,0.403413,0.311897,"Any OS, Any Messsaging App",https://openclaw.ai,Dec 2025,blue
137,Dan Hendrycks,hendrycks,researcher,CTO,44145,111,18,7,11,2,0.181818,0,0,0,0,1.816886,0.087405,0.375,0.00508903,0.385404,0.310904,San Francisco,https://newsletter.safe.ai,Aug 2009,blue
138,Sham Kakade,ShamKakade6,researcher,Professor at Harvard,17260,546,13,3,10,1,0.1,0,0,0,0,1.454163,0.069761,0.625,0.0014574,0.389855,0.309831,,https://shamulent.github.io,Dec 2018,blue
139,Aleksa Gordić (水平问题),gordic_aleksa,founder,Microsoft,29073,230,26,2,24,2,0.083333,0,0,0,0,2.265764,0.109239,0.0,0.00095921,0.375668,0.309061,"San Francisco, CA",https://www.aleksagordic.com/,Sep 2017,blue
140,Yoshua Bengio,Yoshua_Bengio,researcher,Deep Learning Pioneer,34775,232,15,12,3,1,0.333333,0,0,0,0,1.184062,0.056623,0.5,0.00307792,0.392732,0.308705,"Montréal, Québec, Canada",https://yoshuabengio.org/,Sep 2024,blue
141,NVIDIA GeForce ME,NVIDIAGeForceME,company,NVIDIA Middle East,90470,8,9,2,7,2,0.285714,0,0,0,0,2.519405,0.121577,0.125,0.0009724,0.370681,0.308405,"Dubai, United Arab Emirates",http://www.instagram.com/nvidiageforceme,Dec 2015,blue
142,Google AI Studio,GoogleAIStudio,company,AI Development Platform,113603,2,10,8,2,1,0.5,0,0,0,0,1.296001,0.062068,0.25,0.00250006,0.389985,0.308006,It's time to build,https://ai.studio/build,Jan 2024,
143,andy jones,andy_l_jones,founder,anthropic,13857,350,17,5,12,2,0.166667,0,0,0,0,2.362753,0.113957,0.25,0.00262655,0.372223,0.307657,SF,http://www.andyljones.com,Oct 2012,blue
144,Matthew Berman,MatthewBerman,media,AI YouTuber,85964,1028,13,5,8,1,0.125,0,0,0,0,1.12343,0.053673,0.125,0.01651249,0.392263,0.307616,California,https://forwardfuture.ai,Jun 2007,blue
145,Nano Banana Pro,NanoBanana,company,AI Tools,147036,4,15,12,3,1,0.333333,0,0,0,0,1.532184,0.073556,0.25,0.00361692,0.384669,0.306891,,http://gemini.google.com,Aug 2025,blue
146,Fei-Fei Li,drfeifei,researcher,Professor at Stanford,554995,1156,17,3,14,1,0.071429,0,0,0,0,1.35798,0.065083,0.375,0.00111312,0.387281,0.306732,"Stanford, CA, U.S.A.",http://svl.stanford.edu,Apr 2010,blue
147,Tulsee Doshi,tulseedoshi,founder,CTO at Stanford,12493,492,21,6,15,2,0.133333,0,0,0,0,2.204396,0.106254,0.25,0.00176753,0.373003,0.306316,,,Jun 2012,blue
148,Sayak Paul,RisingSayak,founder,ML at Hugging Face 🤗,21768,125,21,2,19,2,0.105263,0,0,0,0,2.338686,0.112786,0.125,0.00086107,0.370731,0.306245,Earth,https://sayak.dev/,May 2012,blue
149,Ethan Mollick,emollick,media,Professor at Wharton,318714,582,28,12,16,1,0.0625,0,0,0,0,1.539183,0.073897,0.125,0.00387973,0.383683,0.306236,"Philadelphia, PA",https://mgmt.wharton.upenn.edu/profile/emollick/,May 2009,blue
150,Daniel Litt,littmath,researcher,Professor at Toronto,54753,893,10,6,4,2,0.5,0,0,0,0,1.626263,0.078133,0.125,0.00187013,0.382172,0.306162,"Toronto, Ontario",http://www.daniellitt.com,Aug 2010,blue
151,NVIDIA GeForce JP,NVIDIAGeForceJP,company,NVIDIA Japan,333761,157,6,4,2,1,0.5,0,0,0,0,1.317597,0.063118,0.125,0.00181491,0.387109,0.306112,東京都港区赤坂,https://www.nvidia.com/ja-jp/geforce/,Apr 2018,blue
152,Ilya Sutskever,ilyasut,researcher,Co-founder at OpenAI & SSI,586952,3,25,24,1,0,0.0,0,0,0,0,1.302593,0.062388,0.25,0.00605453,0.387227,0.306017,,,Sep 2013,blue
153,Zico Kolter,zicokolter,researcher,Professor at CMU,27272,721,20,6,14,0,0.0,0,0,0,0,0.907136,0.043152,0.625,0.00243413,0.393525,0.305932,"Pittsburgh, PA",http://zicokolter.com,Mar 2017,blue
154,Mustafa Suleyman,mustafasuleyman,founder,CEO at Microsoft AI,227997,488,23,7,16,1,0.0625,0,0,0,0,1.891372,0.091028,0.125,0.00166908,0.376474,0.305112,"Redmond, WA",http://microsoft.ai,Jan 2014,blue
155,Susan Zhang,suchenzang,company,Google,41198,766,24,10,14,1,0.071429,0,0,0,0,1.513877,0.072666,0.375,0.00296785,0.381653,0.304406,,https://suchenzang.github.io/,Apr 2014,blue
156,NVIDIA Korea,NVIDIAKorea,company,NVIDIA Korea,17890,19221,8,3,5,2,0.4,0,0,0,0,2.177072,0.104925,0.125,0.00112276,0.370623,0.304199,Seoul,http://www.nvidia.co.kr,Mar 2011,blue
157,Aäron van den Oord,avdnoord,researcher,Research Scientist at Google DeepMind,14528,264,16,1,15,1,0.066667,0,0,0,0,1.571334,0.075461,0.5,0.00077769,0.380354,0.30413,"London, England",https://avdnoord.github.io/homepage,Jan 2013,blue
158,Hanna Wallach (@hannawallach.bsky.social),hannawallach,researcher,Senior Principal Researcher at Microsoft,20795,906,14,2,12,1,0.083333,0,0,0,0,1.447614,0.069443,0.5,0.00191671,0.380256,0.302553,"Brooklyn, NY",http://dirichlet.net/,Sep 2012,
159,NVIDIA GeForce FR,NVIDIAGeForceFR,company,NVIDIA France,546606,245,6,4,2,1,0.5,0,0,0,0,1.095499,0.052315,0.0,0.00199069,0.385885,0.302493,Paris,https://www.nvidia.com/fr-fr/geforce/graphics-cards/50-series/,Sep 2011,blue
160,JFPuget 🇺🇦🇨🇦🇬🇱,JFPuget,researcher,Nvidia,19138,1473,16,2,14,1,0.071429,0,0,0,0,1.363754,0.065363,0.5,0.00149097,0.381088,0.302157,France ,https://www.kaggle.com/cpmpml,Mar 2012,blue
161,Eliezer Yudkowsky ⏹️,ESYudkowsky,researcher,AI Safety Researcher,215346,101,13,9,4,1,0.25,0,0,0,0,1.032719,0.049261,0.375,0.00313519,0.385629,0.301537,,,Jun 2014,blue
162,khipu.ai,Khipu_AI,company,Latin American AI Community,6599,86,9,2,7,1,0.142857,0,0,0,0,1.049494,0.050077,0.625,0.00104422,0.384673,0.301024,Latin America,http://khipu.ai,Dec 2018,blue
163,NVIDIA GeForce ES,NVIDIAGeForceES,company,NVIDIA Spain,373202,140,6,4,2,1,0.5,0,0,0,0,1.100577,0.052562,0.0,0.00207916,0.383548,0.300801,,http://www.nvidia.es/page/home.html,Dec 2009,
164,adammaj,MajmudarAdam,founder,openai,17243,272,7,2,5,2,0.4,0,0,0,0,1.649271,0.079252,0.25,0.00118475,0.374128,0.300409,SF,http://adammaj.com,Oct 2019,blue
165,Lex Fridman,lexfridman,media,Podcast Host & Researcher,4578555,666,16,3,13,0,0.0,0,0,0,0,0.433481,0.020113,0.125,0.00155752,0.393749,0.30034,Austin and Boston,https://youtube.com/lexfridman,Dec 2011,blue
166,Aaron Levie,levie,founder,CEO at Box,2450909,774,18,11,7,0,0.0,0,0,0,0,0.73288,0.034676,0.125,0.00473619,0.388148,0.29978,Bay Area,http://www.box.com,Mar 2007,blue
167,Maithra Raghu,maithra_raghu,researcher,Research Scientist at Google,20365,525,19,1,18,0,0.0,0,0,0,0,1.099486,0.052509,0.5,0.00077769,0.381907,0.299558,,http://maithraraghu.com,Jul 2017,blue
168,Bryan Catanzaro,ctnzr,founder,VP at NVIDIA,23958,473,21,7,14,1,0.071429,0,0,0,0,1.76846,0.085049,0.25,0.00187854,0.370729,0.299309,,,Feb 2011,blue
169,Nils Reimers,Nils_Reimers,founder,Cohere,14747,519,22,3,19,1,0.052632,0,0,0,0,1.937761,0.093285,0.125,0.00124031,0.367724,0.299114,,https://www.nils-reimers.de,Aug 2016,blue
170,Artificial Analysis,ArtificialAnlys,founder,,78049,610,8,4,4,1,0.25,0,0,0,0,0.849247,0.040337,0.5,0.00165547,0.38442,0.298399,San Francisco,http://artificialanalysis.ai/,Jan 2024,blue
171,Josh Tobin,josh_tobin_,founder,openai,13750,1200,15,2,13,2,0.153846,0,0,0,0,1.864805,0.089736,0.25,0.00071244,0.367482,0.298045,"San Francisco, CA",,Jul 2011,blue
172,Yuandong Tian,tydsh,researcher,Co-founder & CTO at Meta,40526,918,21,9,12,0,0.0,0,0,0,0,0.963964,0.045917,0.5,0.00199986,0.382048,0.298015,"California, USA",http://yuandong-tian.com,Dec 2009,blue
173,Chelsea Finn,chelseabfinn,researcher,Professor at Stanford,88292,400,16,2,14,1,0.071429,0,0,0,0,1.645488,0.079068,0.25,0.00087212,0.370857,0.297909,"Palo Alto, CA",http://ai.stanford.edu/~cbfinn,Jun 2014,blue
174,Chris Paxton,chris_j_paxton,founder,Mostly posting about robots,29706,3209,13,3,10,2,0.2,0,0,0,0,1.692615,0.08136,0.25,0.0016554,0.370001,0.297841,"Pittsburgh, PA",https://itcanthink.substack.com/,Dec 2013,blue
175,Sepp Hochreiter,HochreiterSepp,researcher,LSTM Co-inventor,14347,375,20,2,18,1,0.055556,0,0,0,0,1.683668,0.080925,0.25,0.00098295,0.369988,0.297722,,https://www.nx-ai.com/,Nov 2021,
176,OpenAI Newsroom,OpenAINewsroom,company,OpenAI News,125155,3,6,3,3,1,0.333333,0,0,0,0,1.122428,0.053625,0.125,0.0069519,0.37823,0.297078,,https://openai.com/,Jun 2024,blue
177,Igor Babuschkin,ibab,researcher,Research Scientist,107391,871,21,5,16,0,0.0,0,0,0,0,1.021642,0.048722,0.375,0.00167332,0.379396,0.296727,"Palo Alto, CA",https://babushk.in,Feb 2020,blue
178,Fidji Simo,fidjissimo,founder,CEO at OpenAI,91620,741,17,13,4,1,0.25,0,0,0,0,1.401378,0.067194,0.125,0.00269644,0.372612,0.296258,,http://fidjisimo.com,May 2007,blue
179,Jürgen Schmidhuber,SchmidhuberAI,researcher,LSTM Co-inventor,181649,0,22,22,0,0,0.0,0,0,0,0,0.709683,0.033548,0.375,0.00624206,0.383811,0.296245,"Switzerland, KSA",https://people.idsia.ch/~juergen/most-cited-neural-nets.html,Aug 2019,blue
180,Christian Szegedy,ChrSzegedy,researcher,Research Scientist,43235,2842,17,3,14,0,0.0,0,0,0,0,0.935693,0.044542,0.5,0.00102966,0.37988,0.296045,"Sunnyvale, CA",,Jun 2015,blue
181,Addy Osmani,addyosmani,founder,CTO,365812,2467,12,7,5,1,0.2,0,0,0,0,0.994198,0.047387,0.25,0.00276022,0.378581,0.295783,"Mountain View, CA",https://addyosmani.com,Apr 2009,blue
182,ChatGPT,ChatGPTapp,company,AI Assistant by OpenAI,489593,210,12,4,8,0,0.0,0,0,0,0,0.391893,0.01809,0.375,0.00840759,0.387525,0.295167,Supercomputer,https://chat.com/,Oct 2023,blue
183,Tim Zaman,timzaman,founder,OpenAI,35891,227,14,5,9,1,0.111111,0,0,0,0,1.302405,0.062379,0.375,0.00174097,0.372501,0.294971,"San Francisco, CA",http://www.timzaman.com,Jun 2010,blue
184,Eric Zelikman,ericzelikman,researcher,Co-founder & CEO at stanford,23532,1988,26,10,16,0,0.0,0,0,0,0,1.207966,0.057786,0.25,0.00383324,0.3739,0.294871,,http://humansand.ai,Apr 2010,blue
185,Nick,nickcammarata,founder,,90034,875,7,5,2,1,0.5,0,0,0,0,0.823439,0.039081,0.0,0.00412404,0.379512,0.294404,🎈,,Mar 2009,blue
186,xAI,xai,company,AI Research Company,1905146,39,14,2,12,0,0.0,0,0,0,0,0.537043,0.02515,0.25,0.00076262,0.384084,0.29435,,http://x.ai,May 2023,
187,Rohan Pandey,khoomeik,company,OpenAI,40575,2611,21,5,16,1,0.0625,0,0,0,0,1.222975,0.058516,0.25,0.00168054,0.372052,0.293668,"San Francisco, CA",https://rpandey.tech,Feb 2020,
188,Stuart Ritchie,StuartJRitchie,founder,Research Comms @AnthropicAI,36492,1186,5,3,2,1,0.5,0,0,0,0,0.885647,0.042107,0.125,0.00237319,0.376947,0.293237,London,https://www.sciencefictions.org,Aug 2010,blue
189,Xin Eric Wang,xwang_lk,researcher,CTO & Professor,19843,1340,14,2,12,1,0.083333,0,0,0,0,1.25976,0.060305,0.375,0.00111891,0.370145,0.292685,"Santa Barbara, CA",https://eric-xw.github.io,Feb 2012,blue
190,Mike Krieger,mikeyk,founder,Co-founder of Instagram,457345,266,7,2,5,1,0.2,0,0,0,0,1.126023,0.0538,0.125,0.00214763,0.371553,0.292114,"37.760571,-122.387567",https://www.anthropic.com/careers,Nov 2006,blue
191,Yuhuai (Tony) Wu,Yuhu_ai_,founder,Co-founder,45774,460,25,11,14,0,0.0,0,0,0,0,0.993833,0.04737,0.25,0.00330901,0.372829,0.291464,Stanford,https://yuhuaiwu.github.io/,Jul 2017,
192,Dileep George,dileeplearning,researcher,AI Researcher,14834,1409,17,3,14,0,0.0,0,0,0,0,0.776876,0.036816,0.5,0.00085079,0.376189,0.291346,"San Francisco, CA",http://dileeplearning.com,Jun 2017,blue
193,Qian Huang,qhwang3,researcher,,13818,331,25,1,24,0,0.0,0,0,0,0,1.035707,0.049406,0.125,0.0006351,0.371101,0.290677,"Palo Alto, CA",https://q-hwang.github.io/,Mar 2017,blue
194,sunny madra,sundeep,company,Nvidia,37748,5320,11,4,7,2,0.285714,0,0,0,0,1.501283,0.072053,0.0,0.00182686,0.363445,0.290597,👨🏽‍💻,,Oct 2009,blue
195,Rishabh Agarwal,agarwl_,company,Meta,20273,828,18,3,15,1,0.066667,0,0,0,0,1.46415,0.070247,0.125,0.00106633,0.362272,0.289266,"Montréal, Canada",https://agarwl.github.io,May 2016,blue
